ClientCode,Exchange,Token,instrument,symbol,expiry,strike,c/p,dayQty,dayValue,LTP,MTM,SerialNO,OpenQty,OpenAmt,netQty,NetValue,FUT_MTM,OPT_MTM,NET_PREM,Prem_Margin,
KH289,NSEFO,68662,FUTSTK,MANAPPURAM,20221229,0.0, ,0,0.0,113.15,0.0,43,6000,-678900.0,6000,-678900.0,0.0,0.0,0.0,0.0,
KH294,NSEFO,68760,FUTSTK,SIEMENS,20221229,0.0, ,0,0.0,2845.55,0.0,44,275,-782526.25,275,-782526.25,0.0,0.0,0.0,0.0,
KH405,NSEFO,68705,FUTSTK,MPHASIS,20221229,0.0, ,0,0.0,1961.15,0.0,45,175,-343201.25,175,-343201.25,0.0,0.0,0.0,0.0,
KS150,NSEFO,62941,FUTSTK,ADANIPORTS,20221229,0.0, ,0,0.0,883.75,0.0,46,1250,-1104687.5,1250,-1104687.5,0.0,0.0,0.0,0.0,
MAL19010,NSEFO,86414,OPTIDX,NIFTY,20221229,18400.0,CE,0,0.0,407.9,0.0,47,-50,20395.0,-50,20395.0,0.0,0.0,-20395.0,0.0,
MAS05045,NSEFO,63895,FUTSTK,CANBK,20221229,0.0, ,0,0.0,330.45,0.0,48,-5400,1784430,-5400,1784430,0.0,0.0,0.0,0.0,
MAS05045,NSEFO,68626,FUTSTK,JINDALSTEL,20221229,0.0, ,0,0.0,526.85,0.0,49,-2500,1317125,-2500,1317125,0.0,0.0,0.0,0.0,
MAS09025,NSEFO,50044,OPTIDX,NIFTY,20221201,18350.0,PE,0,0.0,49.0,0.0,50,50,-2450.0,50,-2450.0,0.0,0.0,2450.0,0.0,
MAS44021,NSEFO,64024,FUTSTK,IDEA,20221229,0.0, ,0,0.0,8.15,0.0,51,70000,-570500.0,70000,-570500.0,0.0,0.0,0.0,0.0,
MASXA003,NSEFO,63934,FUTSTK,DEEPAKNTR,20221229,0.0, ,0,0.0,2115.65,0.0,52,250,-528912.5,250,-528912.5,0.0,0.0,0.0,0.0,
MB144,NSEFO,128429,OPTSTK,FEDERALBNK,20221229,150.0,CE,0,0.0,0.65,0.0,53,5000,-3250.0,5000,-3250.0,0.0,0.0,3250.0,0.0,
MB2133,NSEFO,50030,OPTIDX,NIFTY,20221201,18100.0,PE,0,0.0,15.15,0.0,54,50,-757.5,50,-757.5,0.0,0.0,757.5,0.0,
MHM01045,NSEFO,63977,FUTSTK,GODREJCP,20221229,0.0, ,0,0.0,869.45,0.0,55,1000,-869450.0,1000,-869450.0,0.0,0.0,0.0,0.0,
MHM01179,NSEFO,68761,FUTSTK,SRF,20221229,0.0, ,0,0.0,2276.7,0.0,56,375,-853762.4999999999,375,-853762.4999999999,0.0,0.0,0.0,0.0,
A0042,NSEFO,63858,FUTSTK,ASHOKLEY,20221229,0.0, ,0,0.0,147.15,0.0,57,15000,-2207250.0,15000,-2207250.0,0.0,0.0,0.0,0.0,
A0042,NSEFO,62941,FUTSTK,ADANIPORTS,20221229,0.0, ,0,0.0,883.75,0.0,58,32500,-28721875.0,32500,-28721875.0,0.0,0.0,0.0,0.0,
A0042,NSEFO,68722,FUTSTK,NTPC,20221229,0.0, ,0,0.0,170.95,0.0,59,5700,-974414.9999999999,5700,-974414.9999999999,0.0,0.0,0.0,0.0,
A0042,NSEFO,97275,OPTSTK,APOLLOTYRE,20221229,290.0,PE,0,0.0,13.0,0.0,60,-7000,91000.0,-7000,91000.0,0.0,0.0,-91000.0,0.0,
A0042,NSEFO,111444,OPTSTK,BHARATFORG,20221229,850.0,PE,0,0.0,27.3,0.0,61,-4000,109200.0,-4000,109200.0,0.0,0.0,-109200.0,0.0,
A0042,NSEFO,123079,OPTSTK,DRREDDY,20221229,4600.0,CE,0,0.0,53.55,0.0,62,-250,13387.5,-250,13387.5,0.0,0.0,-13387.5,0.0,
A0042,NSEFO,123681,OPTSTK,EICHERMOT,20221229,3700.0,CE,0,0.0,25.45,0.0,63,-350,8907.5,-350,8907.5,0.0,0.0,-8907.5,0.0,
A0042,NSEFO,130726,OPTSTK,HDFCBANK,20221229,1500.0,PE,0,0.0,4.35,0.0,64,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
A0042,NSEFO,131098,OPTSTK,HINDALCO,20221229,430.0,PE,0,0.0,10.6,0.0,65,-2150,22790.0,-2150,22790.0,0.0,0.0,-22790.0,0.0,
A0042,NSEFO,132982,OPTSTK,INDHOTEL,20221229,330.0,CE,0,0.0,7.2,0.0,66,-4022,28958.4,-4022,28958.4,0.0,0.0,-28958.4,0.0,
A0042,NSEFO,133689,OPTSTK,INFY,20221229,1500.0,PE,0,0.0,5.9,0.0,67,-3300,19470.0,-3300,19470.0,0.0,0.0,-19470.0,0.0,
A0042,NSEFO,136389,OPTSTK,M&M,20221229,1300.0,CE,0,0.0,19.55,0.0,68,-3500,68425.0,-3500,68425.0,0.0,0.0,-68425.0,0.0,
6405,NSEFO,143896,OPTSTK,TATACHEM,20221229,1000.0,PE,0,0.0,22.2,0.0,69,2000,-44400.0,2000,-44400.0,0.0,0.0,44400.0,0.0,
6405,NSEFO,122604,OPTSTK,DLF,20221229,400.0,PE,0,0.0,16.15,0.0,70,-1650,26647.499999999996,-1650,26647.499999999996,0.0,0.0,-26647.499999999996,0.0,
6405,NSEFO,123669,OPTSTK,EICHERMOT,20221229,3450.0,CE,0,0.0,92.65,0.0,71,-700,64855.00000000001,-700,64855.00000000001,0.0,0.0,-64855.00000000001,0.0,
6405,NSEFO,128994,OPTSTK,GNFC,20221229,700.0,CE,0,0.0,5.45,0.0,72,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
6405,NSEFO,146036,OPTSTK,TITAN,20221229,2600.0,CE,0,0.0,83.85,0.0,73,-6375,534543.75,-6375,534543.75,0.0,0.0,-534543.75,0.0,
6405,NSEFO,148903,OPTSTK,TVSMOTOR,20221229,1000.0,PE,0,0.0,14.55,0.0,74,-1400,20370.0,-1400,20370.0,0.0,0.0,-20370.0,0.0,
6405,NSEFO,152438,OPTSTK,WIPRO,20221229,390.0,CE,0,0.0,17.7,0.0,75,1000,-17700.0,1000,-17700.0,0.0,0.0,17700.0,0.0,
6405,NSEFO,43626,OPTIDX,BANKNIFTY,20221208,41500.0,PE,0,0.0,69.4,0.0,76,-6500,451100.00000000006,-6500,451100.00000000006,0.0,0.0,-451100.00000000006,0.0,
6405,NSEFO,45701,OPTIDX,BANKNIFTY,20221215,43000.0,CE,0,0.0,618.9,0.0,77,-1000,618900.0,-1000,618900.0,0.0,0.0,-618900.0,0.0,
6405,NSEFO,50652,OPTIDX,BANKNIFTY,20221201,43300.0,CE,0,0.0,176.9,0.0,78,-100,17690.0,-100,17690.0,0.0,0.0,-17690.0,0.0,
6405,NSEFO,129804,OPTSTK,HAL,20221229,2900.0,CE,0,0.0,53.85,0.0,79,-950,51157.5,-950,51157.5,0.0,0.0,-51157.5,0.0,
6405,NSEFO,50646,OPTIDX,BANKNIFTY,20221201,43200.0,PE,0,0.0,336.25,0.0,80,150,-50437.5,150,-50437.5,0.0,0.0,50437.5,0.0,
6405,NSEFO,50586,OPTIDX,BANKNIFTY,20221201,42400.0,PE,0,0.0,79.05,0.0,81,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
6405,NSEFO,50601,OPTIDX,BANKNIFTY,20221201,42800.0,PE,0,0.0,171.7,0.0,82,-100,17170.0,-100,17170.0,0.0,0.0,-17170.0,0.0,
6405,NSEFO,50518,OPTIDX,BANKNIFTY,20221201,41700.0,PE,0,0.0,28.3,0.0,83,-11650,329695.0,-11650,329695.0,0.0,0.0,-329695.0,0.0,
6405,NSEFO,50614,OPTIDX,BANKNIFTY,20221201,43000.0,CE,0,0.0,310.4,0.0,84,-9300,2886720,-9300,2886720,0.0,0.0,-2886720.0,0.0,
6405,NSEFO,50700,OPTIDX,BANKNIFTY,20221201,44500.0,CE,0,0.0,15.3,0.0,85,4000,-61200.0,4000,-61200.0,0.0,0.0,61200.0,0.0,
6405,NSEFO,50591,OPTIDX,BANKNIFTY,20221201,42600.0,PE,0,0.0,115.7,0.0,86,-1750,202475.0,-1750,202475.0,0.0,0.0,-202475.0,0.0,
6405,NSEFO,39840,OPTIDX,FINNIFTY,20221129,19300.0,PE,0,0.0,101.4,0.0,87,-600,60840.0,-600,60840.0,0.0,0.0,-60840.0,0.0,
6405,NSEFO,39855,OPTIDX,FINNIFTY,20221129,19900.0,CE,0,0.0,2.65,0.0,88,3640,-9646.0,3640,-9646.0,0.0,0.0,9646.0,0.0,
6405,NSEFO,42912,OPTIDX,NIFTY,20221208,18850.0,CE,0,0.0,40.65,0.0,89,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
6405,NSEFO,42892,OPTIDX,NIFTY,20221208,18700.0,CE,0,0.0,82.35,0.0,90,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
6405,NSEFO,42065,OPTIDX,NIFTY,20221229,17500.0,PE,0,0.0,34.45,0.0,91,900,-31005.000000000004,900,-31005.000000000004,0.0,0.0,31005.000000000004,0.0,
6405,NSEFO,50036,OPTIDX,NIFTY,20221201,18150.0,PE,0,0.0,18.8,0.0,92,-2000,37600.0,-2000,37600.0,0.0,0.0,-37600.0,0.0,
SSM101,NSEFO,134264,OPTSTK,IRCTC,20221229,700.0,CE,0,0.0,32.85,0.0,93,875,-28743.75,875,-28743.75,0.0,0.0,28743.75,0.0,
SSM101,NSEFO,142067,OPTSTK,RELIANCE,20221229,2400.0,CE,0,0.0,204.9,0.0,94,500,-102450.0,500,-102450.0,0.0,0.0,102450.0,0.0,
A1676,NSEFO,50601,OPTIDX,BANKNIFTY,20221201,42800.0,PE,0,0.0,171.7,0.0,95,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
6405,NSEFO,152559,OPTSTK,ZEEL,20221229,235.0,PE,0,0.0,2.6,0.0,96,-3000,7800.0,-3000,7800.0,0.0,0.0,-7800.0,0.0,
6405,NSEFO,43780,OPTIDX,BANKNIFTY,20221208,44000.0,CE,0,0.0,116.2,0.0,97,-6500,755300.0,-6500,755300.0,0.0,0.0,-755300.0,0.0,
6405,NSEFO,39759,OPTIDX,BANKNIFTY,20221229,45000.0,CE,0,0.0,162.1,0.0,98,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
6405,NSEFO,50634,OPTIDX,BANKNIFTY,20221201,43200.0,CE,0,0.0,214.5,0.0,99,150,-32175.0,150,-32175.0,0.0,0.0,32175.0,0.0,
6405,NSEFO,50702,OPTIDX,BANKNIFTY,20221201,45000.0,CE,0,0.0,8.95,0.0,100,2700,-24164.999999999996,2700,-24164.999999999996,0.0,0.0,24164.999999999996,0.0,
6405,NSEFO,141891,OPTSTK,RECLTD,20221229,103.0,CE,0,0.0,3.75,0.0,101,-40000,150000.0,-40000,150000.0,0.0,0.0,-150000.0,0.0,
6405,NSEFO,142107,OPTSTK,RELIANCE,20221229,2800.0,CE,0,0.0,8.9,0.0,102,1000,-8900.0,1000,-8900.0,0.0,0.0,8900.0,0.0,
6405,NSEFO,142088,OPTSTK,RELIANCE,20221229,2600.0,PE,0,0.0,57.45,0.0,103,-500,28725.0,-500,28725.0,0.0,0.0,-28725.0,0.0,
6405,NSEFO,143281,OPTSTK,SRF,20221229,2300.0,CE,0,0.0,73.7,0.0,104,750,-55275.0,750,-55275.0,0.0,0.0,55275.0,0.0,
6405,NSEFO,143289,OPTSTK,SRF,20221229,2500.0,CE,0,0.0,18.0,0.0,105,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
6405,NSEFO,145172,OPTSTK,TCS,20221229,3480.0,CE,0,0.0,40.65,0.0,106,-900,36585.0,-900,36585.0,0.0,0.0,-36585.0,0.0,
6405,NSEFO,151654,OPTSTK,UPL,20221229,820.0,CE,0,0.0,7.8,0.0,107,-1300,10140.0,-1300,10140.0,0.0,0.0,-10140.0,0.0,
6405,NSEFO,151656,OPTSTK,UPL,20221229,830.0,CE,0,0.0,5.95,0.0,108,-3900,23205.0,-3900,23205.0,0.0,0.0,-23205.0,0.0,
6405,NSEFO,151832,OPTSTK,VOLTAS,20221229,900.0,CE,0,0.0,5.9,0.0,109,-500,2950.0,-500,2950.0,0.0,0.0,-2950.0,0.0,
6405,NSEFO,50662,OPTIDX,BANKNIFTY,20221201,43500.0,CE,0,0.0,111.95,0.0,110,4125,-461793.75,4125,-461793.75,0.0,0.0,461793.75,0.0,
6405,NSEFO,53908,OPTIDX,FINNIFTY,20221129,19150.0,PE,0,0.0,50.05,0.0,111,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
6405,NSEFO,39835,OPTIDX,FINNIFTY,20221129,19200.0,CE,0,0.0,131.95,0.0,112,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
6405,NSEFO,39801,OPTIDX,FINNIFTY,20221129,18400.0,PE,0,0.0,3.4,0.0,113,7200,-24480.0,7200,-24480.0,0.0,0.0,24480.0,0.0,
6405,NSEFO,39826,OPTIDX,FINNIFTY,20221129,18800.0,PE,0,0.0,7.5,0.0,114,-4840,36300.0,-4840,36300.0,0.0,0.0,-36300.0,0.0,
6405,NSEFO,39829,OPTIDX,FINNIFTY,20221129,19000.0,CE,0,0.0,285.9,0.0,115,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
6405,NSEFO,42841,OPTIDX,NIFTY,20221208,18000.0,PE,0,0.0,32.65,0.0,116,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
6405,NSEFO,50054,OPTIDX,NIFTY,20221201,18500.0,CE,0,0.0,111.35,0.0,117,5250,-584587.5,5250,-584587.5,0.0,0.0,584587.5,0.0,
6405,NSEFO,45841,OPTIDX,NIFTY,20221229,17000.0,PE,0,0.0,15.15,0.0,118,4100,-62115.0,4100,-62115.0,0.0,0.0,62115.0,0.0,
6405,NSEFO,86393,OPTIDX,NIFTY,20221229,17800.0,PE,0,0.0,59.45,0.0,119,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
PKR027,NSEFO,68760,FUTSTK,SIEMENS,20221229,0.0, ,0,0.0,2845.55,0.0,120,275,-782526.25,275,-782526.25,0.0,0.0,0.0,0.0,
A0044,NSEFO,57272,OPTIDX,NIFTY,20230330,18000.0,CE,0,0.0,1114.95,0.0,121,50,-55747.5,50,-55747.5,0.0,0.0,55747.5,0.0,
A0103,NSEFO,63976,FUTSTK,GNFC,20221229,0.0, ,0,0.0,609.75,0.0,122,2600,-1585350.0,2600,-1585350.0,0.0,0.0,0.0,0.0,
A0103,NSEFO,68708,FUTSTK,NATIONALUM,20221229,0.0, ,0,0.0,75.55,0.0,123,25500,-1926525.0,25500,-1926525.0,0.0,0.0,0.0,0.0,
A0103,NSEFO,68753,FUTSTK,SAIL,20221229,0.0, ,0,0.0,83.4,0.0,124,12000,-1000800.0000000001,12000,-1000800.0000000001,0.0,0.0,0.0,0.0,
A0104,NSEFO,55269,FUTSTK,RECLTD,20230125,0.0, ,0,0.0,105.0,0.0,125,8000,-840000.0,8000,-840000.0,0.0,0.0,0.0,0.0,
A0119,NSEFO,91854,OPTSTK,ADANIPORTS,20221229,1080.0,CE,0,0.0,2.25,0.0,126,-1250,2812.5,-1250,2812.5,0.0,0.0,-2812.5,0.0,
A0374,NSEFO,51436,OPTIDX,NIFTY,20221229,21000.0,CE,0,0.0,4.2,0.0,127,-1650,6930.0,-1650,6930.0,0.0,0.0,-6930.0,0.0,
A0374,NSEFO,68753,FUTSTK,SAIL,20221229,0.0, ,0,0.0,83.4,0.0,128,12000,-1000800.0000000001,12000,-1000800.0000000001,0.0,0.0,0.0,0.0,
A1528,NSEFO,85957,OPTIDX,BANKNIFTY,20221229,44000.0,CE,0,0.0,423.4,0.0,129,-2000,846800.0,-2000,846800.0,0.0,0.0,-846800.0,0.0,
A1616,NSEFO,68786,FUTSTK,TITAN,20221229,0.0, ,0,0.0,2631.55,0.0,130,375,-986831.2500000001,375,-986831.2500000001,0.0,0.0,0.0,0.0,
A1616,NSEFO,138017,OPTSTK,MOTHERSON,20221229,75.0,CE,0,0.0,1.85,0.0,131,-13500,24975.0,-13500,24975.0,0.0,0.0,-24975.0,0.0,
SSM171,NSEFO,133694,OPTSTK,INFY,20221229,1560.0,CE,0,0.0,95.25,0.0,132,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
SSM171,NSEFO,135935,OPTSTK,LT,20221229,2000.0,CE,0,0.0,92.3,0.0,133,300,-27690.0,300,-27690.0,0.0,0.0,27690.0,0.0,
SSM171,NSEFO,91844,OPTSTK,ADANIPORTS,20221229,980.0,CE,0,0.0,7.3,0.0,134,-625,4562.5,-625,4562.5,0.0,0.0,-4562.5,0.0,
SSM234,NSEFO,123667,OPTSTK,EICHERMOT,20221229,3400.0,CE,0,0.0,115.7,0.0,135,175,-20247.5,175,-20247.5,0.0,0.0,20247.5,0.0,
SSM234,NSEFO,144604,OPTSTK,TATAPOWER,20221229,200.0,CE,0,0.0,24.0,0.0,136,3375,-81000.0,3375,-81000.0,0.0,0.0,81000.0,0.0,
TG0320,NSEFO,62809,FUTIDX,NIFTY,20221229,0.0, ,0,0.0,18626.15,0.0,137,-250,4656537,-250,4656537,0.0,0.0,0.0,0.0,
V11020,NSEFO,137005,OPTSTK,MARUTI,20221229,9200.0,CE,0,0.0,173.95,0.0,138,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
V25009,NSEFO,142752,OPTSTK,SBIN,20221229,500.0,PE,0,0.0,0.45,0.0,139,1500,-675.0,1500,-675.0,0.0,0.0,675.0,0.0,
VRM164,NSEFO,109731,OPTSTK,BAJFINANCE,20221229,6800.0,CE,0,0.0,233.2,0.0,140,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
A1616,NSEFO,146046,OPTSTK,TITAN,20221229,2700.0,CE,0,0.0,39.85,0.0,141,-375,14943.75,-375,14943.75,0.0,0.0,-14943.75,0.0,
A1616,NSEFO,62809,FUTIDX,NIFTY,20221229,0.0, ,0,0.0,18626.15,0.0,142,-300,5587845,-300,5587845,0.0,0.0,0.0,0.0,
A1676,NSEFO,39837,OPTIDX,FINNIFTY,20221129,19300.0,CE,0,0.0,81.55,0.0,143,-80,6524.0,-80,6524.0,0.0,0.0,-6524.0,0.0,
A1959,NSEFO,63976,FUTSTK,GNFC,20221229,0.0, ,0,0.0,609.75,0.0,144,2600,-1585350.0,2600,-1585350.0,0.0,0.0,0.0,0.0,
A1959,NSEFO,62941,FUTSTK,ADANIPORTS,20221229,0.0, ,0,0.0,883.75,0.0,145,16250,-14360937.5,16250,-14360937.5,0.0,0.0,0.0,0.0,
A1959,NSEFO,109726,OPTSTK,BAJFINANCE,20221229,6500.0,PE,0,0.0,84.55,0.0,146,-250,21137.5,-250,21137.5,0.0,0.0,-21137.5,0.0,
A1959,NSEFO,74233,OPTSTK,BAJFINANCE,20230125,7000.0,PE,0,0.0,552.15,0.0,147,500,-276075.0,500,-276075.0,0.0,0.0,276075.0,0.0,
A1946,NSEFO,50662,OPTIDX,BANKNIFTY,20221201,43500.0,CE,0,0.0,111.95,0.0,148,1425,-159528.75,1425,-159528.75,0.0,0.0,159528.75,0.0,
A1959,NSEFO,89614,OPTSTK,ACC,20221229,2400.0,PE,0,0.0,55.0,0.0,149,-8000,440000.0,-8000,440000.0,0.0,0.0,-440000.0,0.0,
A1959,NSEFO,96721,OPTSTK,AMBUJACEM,20221229,600.0,PE,0,0.0,45.3,0.0,150,-18000,815400.0,-18000,815400.0,0.0,0.0,-815400.0,0.0,
A2158,NSEFO,68777,FUTSTK,TATAPOWER,20221229,0.0, ,0,0.0,222.8,0.0,151,13500,-3007800.0,13500,-3007800.0,0.0,0.0,0.0,0.0,
A2158,NSEFO,130837,OPTSTK,HDFCLIFE,20221229,600.0,CE,0,0.0,7.05,0.0,152,-14300,100815.0,-14300,100815.0,0.0,0.0,-100815.0,0.0,
