Sr No.,Symbol,Instrument Type,Normal ELM Margin%,Additional ELM% for Trade Date 24-Jan-2023,Total applicable ELM%
299,PNB,OTH,3.5,7,10.5
300,PNB,OTM,5.25,10.5,15.75
301,POLYCAB,OTH,3.5,0,3.5
302,POLYCAB,OTM,5.25,0,5.25
303,POWERGRID,OTH,3.5,0,3.5
304,POWERGRID,OTM,5.25,0,5.25
305,PVR,OTH,3.5,7,10.5
306,PVR,OTM,5.25,10.5,15.75
307,RAIN,OTH,3.5,0,3.5
308,RAIN,OTM,5.25,0,5.25
309,RAMCOCEM,OTH,3.5,0,3.5
310,RAMCOCEM,OTM,5.25,0,5.25
311,RBLBANK,OTH,3.5,3.5,7
312,RBLBANK,OTM,5.25,5.25,10.5
313,RECLTD,OTH,3.5,0,3.5
314,RECLTD,OTM,5.25,0,5.25
315,RELIANCE,OTH,3.5,0,3.5
316,RELIANCE,OTM,5.25,0,5.25
317,SAIL,OTH,3.5,7,10.5
318,SAIL,OTM,5.25,10.5,15.75
319,SBICARD,OTH,3.5,0,3.5
320,SBICARD,OTM,5.25,0,5.25
321,SBILIFE,OTH,3.5,0,3.5
322,SBILIFE,OTM,5.25,0,5.25
323,SBIN,OTH,3.5,0,3.5
324,SBIN,OTM,5.25,0,5.25
325,SHREECEM,OTH,3.5,0,3.5
326,SHREECEM,OTM,5.25,0,5.25
327,SIEMENS,OTH,3.5,0,3.5
328,SIEMENS,OTM,5.25,0,5.25
329,SRF,OTH,3.5,0,3.5
330,SRF,OTM,5.25,0,5.25
331,SHRIRAMFIN,OTH,3.5,0,3.5
332,SHRIRAMFIN,OTM,5.25,0,5.25
333,SUNPHARMA,OTH,3.5,0,3.5
334,SUNPHARMA,OTM,5.25,0,5.25
335,SUNTV,OTH,3.5,0,3.5
336,SUNTV,OTM,5.25,0,5.25
337,SYNGENE,OTH,3.5,0,3.5
338,SYNGENE,OTM,5.25,0,5.25
339,TATACHEM,OTH,3.5,0,3.5
340,TATACHEM,OTM,5.25,0,5.25
341,TATACOMM,OTH,3.5,0,3.5
342,TATACOMM,OTM,5.25,0,5.25
343,TATACONSUM,OTH,3.5,0,3.5
344,TATACONSUM,OTM,5.25,0,5.25
345,TATAMOTORS,OTH,3.5,0,3.5
346,TATAMOTORS,OTM,5.25,0,5.25
347,TATAPOWER,OTH,3.5,0,3.5
348,TATAPOWER,OTM,5.25,0,5.25
349,TATASTEEL,OTH,3.5,0,3.5
350,TATASTEEL,OTM,5.25,0,5.25
351,TCS,OTH,3.5,0,3.5
352,TCS,OTM,5.25,0,5.25
353,TECHM,OTH,3.5,0,3.5
354,TECHM,OTM,5.25,0,5.25
355,TITAN,OTH,3.5,0,3.5
356,TITAN,OTM,5.25,0,5.25
357,TORNTPHARM,OTH,3.5,0,3.5
358,TORNTPHARM,OTM,5.25,0,5.25
359,TORNTPOWER,OTH,3.5,0,3.5
360,TORNTPOWER,OTM,5.25,0,5.25
361,TRENT,OTH,3.5,0,3.5
362,TRENT,OTM,5.25,0,5.25
363,TVSMOTOR,OTH,3.5,0,3.5
364,TVSMOTOR,OTM,5.25,0,5.25
365,UBL,OTH,3.5,0,3.5
366,UBL,OTM,5.25,0,5.25
367,ULTRACEMCO,OTH,3.5,0,3.5
368,ULTRACEMCO,OTM,5.25,0,5.25
369,UPL,OTH,3.5,0,3.5
370,UPL,OTM,5.25,0,5.25
371,VEDL,OTH,3.5,0,3.5
372,VEDL,OTM,5.25,0,5.25
373,VOLTAS,OTH,3.5,0,3.5
374,VOLTAS,OTM,5.25,0,5.25
375,WHIRLPOOL,OTH,3.5,0,3.5
376,WHIRLPOOL,OTM,5.25,0,5.25
377,WIPRO,OTH,3.5,0,3.5
378,WIPRO,OTM,5.25,0,5.25
379,ZEEL,OTH,3.5,1.75,5.25
380,ZEEL,OTM,5.25,2.63,7.88
381,ZYDUSLIFE,OTH,3.5,0,3.5
382,ZYDUSLIFE,OTM,5.25,0,5.25
1,BANKNIFTY,OTH,2,0,2
2,BANKNIFTY,OTM,3,0,3
1,NIFTY,OTH,2,0,2
2,NIFTY,OTM,3,0,3
1,FINNIFTY,OTH,2,0,2
2,FINNIFTY,OTM,3,0,3
1,MIDCPNIFTY,OTH,2,0,2
2,MIDCPNIFTY,OTM,3,0,3
